player_id,player_name,team,position,age,matches_played,pes_baseline,pes_adjusted,confidence,injury_risk,estimated_energy
Brazil_0,Player_0,Brazil,GK,31,29,100.0,100.0,0.72,0.473,90.9
Brazil_1,Player_1,Brazil,CB,31,32,96.23475889155753,96.69707468103121,0.72,0.243,82.9
Brazil_2,Player_2,Brazil,LB,23,25,96.17538119191903,94.12106540244534,0.72,0.331,81.7
Brazil_3,Player_3,Brazil,RB,19,24,97.50613004863924,95.7648668907445,0.72,0.567,83.8
Brazil_4,Player_4,Brazil,CB,28,32,97.74735335410537,97.24166914357906,0.72,0.269,85.2
Brazil_5,Player_5,Brazil,CM,24,36,100.0,99.6181052631579,0.72,0.203,85.3
Brazil_6,Player_6,Brazil,LM,22,20,96.68409074857523,93.97903811699628,0.72,0.318,78.1
Brazil_7,Player_7,Brazil,RM,19,29,100.0,99.42947368421052,0.72,0.185,82.4
Brazil_8,Player_8,Brazil,AM,25,30,100.0,97.57642105263157,0.72,0.194,80.9
Brazil_9,Player_9,Brazil,ST,25,33,94.5863531547889,92.12761631268363,0.72,0.138,82.0
Brazil_10,Player_10,Brazil,LW,31,27,97.66629736759286,94.30987631496129,0.72,0.371,81.1
Brazil_11,Player_11,Brazil,RW,36,8,100.0,97.60757894736842,0.58,0.413,79.8
Brazil_12,Player_12,Brazil,FW,31,18,94.25038182437055,92.3514344559495,0.58,0.25,77.9
Brazil_13,Player_13,Brazil,ST,21,10,97.99728021542691,93.75075389963743,0.58,0.327,74.4
Brazil_14,Player_14,Brazil,LW,31,19,100.0,98.16,0.58,0.6,82.4
Brazil_15,Player_15,Brazil,RW,31,8,100.0,100.0,0.58,0.143,84.2
Brazil_16,Player_16,Brazil,FW,25,17,97.66949092780584,94.19959619096373,0.58,0.219,78.0
Brazil_17,Player_17,Brazil,ST,19,16,100.0,99.42715789473684,0.58,0.027,83.2
Brazil_18,Player_18,Brazil,LW,30,17,98.28565889272328,98.13976415588117,0.58,0.306,85.6
Brazil_19,Player_19,Brazil,RW,24,7,97.77730807349454,95.23793965244191,0.58,0.254,78.0
Brazil_20,Player_20,Brazil,FW,22,10,99.2600320211983,94.60550570540883,0.58,0.353,77.6
Brazil_21,Player_21,Brazil,ST,30,15,100.0,97.5922105263158,0.58,0.094,79.3
Brazil_22,Player_22,Brazil,LW,26,17,98.81230649599466,100.0,0.58,0.083,90.8
Argentina_0,Player_0,Argentina,GK,20,16,100.0,96.57915789473684,0.72,0.518,78.6
Argentina_1,Player_1,Argentina,CB,32,26,98.52133428289319,98.23796586184056,0.72,0.367,83.2
Argentina_2,Player_2,Argentina,LB,31,29,87.76666666666667,85.22414035087719,0.72,0.244,78.3
Argentina_3,Player_3,Argentina,RB,23,29,100.0,99.93347368421053,0.72,0.182,81.9
Argentina_4,Player_4,Argentina,CB,19,31,100.0,95.86736842105263,0.72,0.63,79.2
Argentina_5,Player_5,Argentina,CM,31,27,97.37772759499454,94.80930654236296,0.72,0.255,79.5
Argentina_6,Player_6,Argentina,LM,36,18,100.0,98.52105263157895,0.72,0.125,80.8
Argentina_7,Player_7,Argentina,RM,23,30,96.86583496636017,96.23825601899175,0.72,0.047,84.6
Argentina_8,Player_8,Argentina,AM,22,36,100.0,100.0,0.72,0.067,89.0
Argentina_9,Player_9,Argentina,ST,34,25,100.0,99.88968421052631,0.72,0.143,84.2
Argentina_10,Player_10,Argentina,LW,26,21,97.89915834186098,98.66505307870308,0.72,0.174,85.5
Argentina_11,Player_11,Argentina,RW,21,16,96.19986757747536,93.81102547221221,0.58,0.159,81.9
Argentina_12,Player_12,Argentina,FW,20,8,100.0,92.64357894736843,0.58,0.516,71.4
Argentina_13,Player_13,Argentina,ST,33,19,98.49055996035823,91.54255996035823,0.58,0.331,68.0
Argentina_14,Player_14,Argentina,LW,33,7,100.0,96.98863157894736,0.58,0.383,76.3
Argentina_15,Player_15,Argentina,RW,36,15,99.02860898547779,93.45681951179358,0.58,0.467,76.5
